EXTRATO DE CONTA CORRENTE C6 BANK

Agência: 1 / Conta: 100000001
Extrato gerado em 16/09/2026 - as 11:53:42

Extrato de 17/08/2026 a 16/09/2026


Data Lançamento,Data Contábil,Título,Descrição,Entrada(R$),Saída(R$),Saldo do Dia(R$)
23/08/2026,24/08/2026,PGTO FAT CARTAO C6,Fatura de cartão,0.00,500.00,498.37
25/08/2026,25/08/2026,Pix recebido de Fulano de Tal Silva,Pix recebido de Fulano de Tal Silva,3000.00,0.00,1998.37
25/08/2026,25/08/2026,CDB C6 LIM.GARANT.,,0.00,1500.00,1998.37
31/08/2026,31/08/2026,Pix recebido de Fulano de Tal Silva,Pix recebido de Fulano de Tal Silva,5000.00,0.00,998.37
31/08/2026,31/08/2026,APLICAÇÃO DE CDB,EMISSÃO DE CDB,0.00,6000.00,998.37
10/09/2026,10/09/2026,Pix recebido de EMPRESA EXEMPLO LTDA,Pix recebido de EMPRESA EXEMPLO LTDA,9950.00,0.00,717.72
10/09/2026,10/09/2026,TOTTA EXEMPLO LTDA,TOTTA EXEMPLO LTDA,0.00,2007.70,717.72
15/09/2026,15/09/2026,Pix automático enviado para CLARO,PAGTO PIX AUT EXT,0.00,122.81,533.02
16/09/2026,16/09/2026,Pix enviado para Beltrano Exemplo,TRANSF ENVIADA PIX,0.00,103.00,430.02
16/09/2026,16/09/2026,Pix enviado para Beltrano Exemplo,TRANSF ENVIADA PIX,0.00,103.00,327.02
