Data,Valor,Identificador,Descrição
04/08/2026,-20.00,11111111-1111-4111-8111-111111111101,Transferência enviada pelo Pix - Fulano de Tal Silva - •••.111.222-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 1000001-1
05/08/2026,-187.07,11111111-1111-4111-8111-111111111102,Transferência enviada pelo Pix - ENERGIA EXEMPLO S.A. - 11.222.333/0001-44 - ITAÚ UNIBANCO S.A. (0341) Agência: 912 Conta: 11554-0
07/08/2026,1600.00,11111111-1111-4111-8111-111111111103,Transferência recebida pelo Pix - BELTRANA DE SOUZA - •••.333.444-•• - BCO C6 S.A. (0336) Agência: 1 Conta: 2000002-2
07/08/2026,850.00,11111111-1111-4111-8111-111111111104,Resgate RDB
07/08/2026,-2859.82,11111111-1111-4111-8111-111111111105,Pagamento de fatura
12/08/2026,-11.00,11111111-1111-4111-8111-111111111106,Transferência enviada pelo Pix - PADARIA EXEMPLO LTDA - 22.333.444/0001-55 - BCO DO BRASIL S.A. (0001) Agência: 21 Conta: 30001-1
12/08/2026,-11.00,11111111-1111-4111-8111-111111111107,Transferência enviada pelo Pix - PADARIA EXEMPLO LTDA - 22.333.444/0001-55 - BCO DO BRASIL S.A. (0001) Agência: 21 Conta: 30001-1
25/08/2026,10287.57,11111111-1111-4111-8111-111111111108,Resgate RDB
25/08/2026,-3000.00,11111111-1111-4111-8111-111111111109,Transferência enviada pelo Pix - CICRANO EXEMPLO DOS SANTOS - •••.555.666-•• - BCO C6 S.A. (0336) Agência: 1 Conta: 2000003-3
27/08/2026,-139.92,11111111-1111-4111-8111-111111111110,Transferência enviada pelo Pix - POSTO EXEMPLO LTDA. - 33.444.555/0001-66 - BCO DO BRASIL S.A. (0001) Agência: 21 Conta: 20335-1
30/08/2026,-29.00,11111111-1111-4111-8111-111111111111,Transferência enviada pelo Pix - LOJA EXEMPLO - 44.555.666/0001-77 - MERCADO PAGO IP LTDA. (0323) Agência: 1 Conta: 4000004-4
30/08/2026,29.00,11111111-1111-4111-8111-111111111112,Reembolso recebido pelo Pix - LOJA EXEMPLO - 44.555.666/0001-77 - MERCADO PAGO IP LTDA. (0323) Agência: 1 Conta: 4000004-4
31/08/2026,-5000.00,11111111-1111-4111-8111-111111111113,Transferência enviada pelo Pix - CICRANO EXEMPLO DOS SANTOS - •••.555.666-•• - BCO C6 S.A. (0336) Agência: 1 Conta: 2000003-3
